ingredient_id|inci_name|cas_number|common_name|primary_function|comedogenic_rating|is_common_allergen|is_fungal_acne_trigger|description|fda_warning
1|WATER/EAU/AQUA|7732-18-5|Water/Eau/Aqua|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|
2|OPUNTIA TUNA FRUIT EXTRACT||Opuntia Tuna Fruit Extract|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|
3|CYPRIPEDIUM PUBESCENS EXTRACT||Cypripedium Pubescens Extract|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No warning required
4|LACTIC ACID|50-21-5|Lactic Acid|Skin-Conditioning Agent|1.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|Sunburn Alert mandatory: AHA ingredients increase sun sensitivity.
5|SQUALANE|111-01-3|Squalane|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|
6|POTASSIUM HYDROXIDE|1310-58-3|Potassium Hydroxide|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|
7|STEARIC ACID|57-11-4|Stearic Acid|Skin-Conditioning Agent|2.0|0|1|Standard cosmetic ingredient registered in INCI catalog.|
8|GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT||Glycyrrhiza Glabra (Licorice) Root Extract|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No warning required
9|CYMBOPOGON SCHOENANTHUS OIL||Cymbopogon Schoenanthus Oil|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|
10|ALOE BARBADENSIS LEAF EXTRACT||Aloe Barbadensis Leaf Extract|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|
11|PHENOXYETHANOL|122-99-6|Phenoxyethanol|Preservative|0.0|1|0|Broad-spectrum synthetic preservative used to prevent microbial growth.|
15|WATER|7732-18-5|Water|Solvent|0.0|0|0|Purified water used as a primary solvent base in cosmetic formulations.|
17|METHYLPARABEN|99-76-3|Methylparaben|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|
21|PETROLATUM||Petrolatum|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|
22|GLYCERIN|56-81-5|Glycerin|Humectant / Skin-Conditioning|0.0|0|0|Natural humectant that attracts moisture into the upper layers of the skin.|
37|CAPRYLIC/CAPRIC TRIGLYCERIDE|65381-09-1|Caprylic/Capric Triglyceride|Emollient / Solvent|1.0|0|0|Gentle coconut-derived ester providing silky texture without greasiness.|
39|CETEARYL ALCOHOL|67762-27-0|Cetearyl Alcohol|Emulsion Stabilizer / Viscosity Controlling / Emollient|2.0|0|0|Fatty alcohol used to stabilize creams and soften skin; non-drying.|
40|CETYL ALCOHOL|36653-82-4|Cetyl Alcohol|Skin-Conditioning Agent|2.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|
42|COCOS NUCIFERA (COCONUT) OIL||Cocos Nucifera (Coconut) Oil|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No warning required
49|COCAMIDOPROPYL BETAINE||Cocamidopropyl Betaine|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|
56|ALOE BARBADENSIS LEAF JUICE||Aloe Barbadensis Leaf Juice|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|
57|PANTHENOL|81-13-0|Panthenol|Skin-Conditioning Agent|0.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|
84|SODIUM HYALURONATE|9067-32-7|Sodium Hyaluronate|Humectant|0.0|0|0|Salt form of hyaluronic acid with smaller molecular size for deeper penetration.|
