product_id|ingredient_id|position_index|concentration_percentage
67455|1|1|Undisclosed
67455|2|2|Undisclosed
67455|3|3|Undisclosed
67455|4|4|Undisclosed
67455|5|5|Undisclosed
67455|6|6|Undisclosed
67455|7|7|Undisclosed
67455|8|8|Undisclosed
67455|9|9|Undisclosed
67455|10|10|Undisclosed
67455|11|11|Undisclosed
78335|162|1|Undisclosed
78335|845|2|Undisclosed
78335|7|3|Undisclosed
78335|1304|4|Undisclosed
78335|6|5|Undisclosed
78335|147|6|Undisclosed
78335|37|7|Undisclosed
78335|91|8|Undisclosed
78335|11|9|Undisclosed
78335|22|10|Undisclosed
78335|178|11|Undisclosed
78335|39|12|Undisclosed
78335|141|13|Undisclosed
78335|57|14|Undisclosed
78335|21148|15|Undisclosed
78335|95|16|Undisclosed
78335|142|17|Undisclosed
78335|3030|18|Undisclosed
78335|145|19|Undisclosed
78335|554|20|Undisclosed
78335|10|21|Undisclosed
78335|13735|22|Undisclosed
78335|21149|23|Undisclosed
82645|8716|1|Undisclosed
82645|32199|2|Undisclosed
82645|32200|3|Undisclosed
82645|22|4|Undisclosed
82645|180|5|Undisclosed
82645|7|6|Undisclosed
82645|209|7|Undisclosed
82645|135|8|Undisclosed
82645|2442|9|Undisclosed
82645|1701|10|Undisclosed
82645|56|11|Undisclosed
82645|5|12|Undisclosed
82645|219|13|Undisclosed
82645|517|14|Undisclosed
82645|92|15|Undisclosed
82645|11|16|Undisclosed
82645|715|17|Undisclosed
82645|16658|18|Undisclosed
82645|619|19|Undisclosed
82645|234|20|Undisclosed
82645|32201|21|Undisclosed
82645|271|22|Undisclosed
83493|162|1|Undisclosed
83493|21|2|Undisclosed
83493|5|3|Undisclosed
83493|22|4|Undisclosed
83493|209|5|Undisclosed
83493|7|6|Undisclosed
83493|34834|7|Undisclosed
83493|207|8|Undisclosed
83493|351|9|Undisclosed
83493|1839|10|Undisclosed
83493|34835|11|Undisclosed
83493|7046|12|Undisclosed
83493|89|13|Undisclosed
83493|234|14|Undisclosed
83493|11|15|Undisclosed
83493|149|16|Undisclosed
83493|218|17|Undisclosed
83493|178|18|Undisclosed
83493|84|19|Undisclosed
83493|360|20|Undisclosed
83541|108|1|Undisclosed
83541|3273|2|Undisclosed
83541|7|3|Undisclosed
83541|1448|4|Undisclosed
83541|845|5|Undisclosed
83541|6|6|Undisclosed
83541|1304|7|Undisclosed
83541|817|8|Undisclosed
83541|5966|9|Undisclosed
83541|24380|10|Undisclosed
83541|34932|11|Undisclosed
83541|34933|12|Undisclosed
83541|34934|13|Undisclosed
83541|40|14|Undisclosed
83541|34935|15|Undisclosed
83541|1519|16|Undisclosed
83541|11|17|Undisclosed
83541|1337|18|Undisclosed
83541|1096|19|Undisclosed
83541|34936|20|Undisclosed
83541|10045|21|Undisclosed
84530|162|1|Undisclosed
84530|22|2|Undisclosed
84530|3897|3|Undisclosed
84530|10|4|Undisclosed
84530|11|5|Undisclosed
84530|219|6|Undisclosed
84530|145|7|Undisclosed
84530|169|8|Undisclosed
84530|6|9|Undisclosed
84957|162|1|Undisclosed
84957|7|2|Undisclosed
84957|42|3|Undisclosed
84957|6|4|Undisclosed
84957|22|5|Undisclosed
84957|6186|6|Undisclosed
84957|4|7|Undisclosed
84957|141|8|Undisclosed
84957|849|9|Undisclosed
84957|464|10|Undisclosed
84957|561|11|Undisclosed
84957|5573|12|Undisclosed
84957|1390|13|Undisclosed
84957|1587|14|Undisclosed
84957|1498|15|Undisclosed
84957|171|16|Undisclosed
84957|3759|17|Undisclosed
84957|193|18|Undisclosed
84957|174|19|Undisclosed
84957|195|20|Undisclosed
84957|4963|21|Undisclosed
84957|198|22|Undisclosed
84957|172|23|Undisclosed
84957|175|24|Undisclosed
84957|14101|25|Undisclosed
86807|162|1|Undisclosed
86807|22|2|Undisclosed
86807|7|3|Undisclosed
86807|209|4|Undisclosed
86807|183|5|Undisclosed
86807|40|6|Undisclosed
86807|178|7|Undisclosed
86807|11|8|Undisclosed
86807|92|9|Undisclosed
86807|6|10|Undisclosed
86807|21|11|Undisclosed
86807|11595|12|Undisclosed
86807|40742|13|Undisclosed
86807|17|14|Undisclosed
86807|40743|15|Undisclosed
86807|331|16|Undisclosed
86807|218|17|Undisclosed
86807|189|18|Undisclosed
86807|192|19|Undisclosed
86807|175|20|Undisclosed
86807|171|21|Undisclosed
86807|174|22|Undisclosed
87798|136|1|Undisclosed
87798|845|2|Undisclosed
87798|3273|3|Undisclosed
87798|7|4|Undisclosed
87798|1448|5|Undisclosed
87798|6|6|Undisclosed
87798|642|7|Undisclosed
87798|17937|8|Undisclosed
87798|49|9|Undisclosed
87798|25084|10|Undisclosed
87798|7081|11|Undisclosed
87798|11|12|Undisclosed
87798|1610|13|Undisclosed
87798|572|14|Undisclosed
87798|42144|15|Undisclosed
87798|382|16|Undisclosed
87798|6065|17|Undisclosed
87798|1320|18|Undisclosed
87798|96|19|Undisclosed
87798|4966|20|Undisclosed
87798|218|21|Undisclosed
87798|529|22|Undisclosed
87798|1297|23|Undisclosed
88930|15|1|Undisclosed
88930|92|2|Undisclosed
88930|40|3|Undisclosed
88930|13536|4|Undisclosed
88930|648|5|Undisclosed
88930|32873|6|Undisclosed
88930|5|7|Undisclosed
88930|1722|8|Undisclosed
88930|630|9|Undisclosed
88930|43048|10|Undisclosed
88930|4|11|Undisclosed
88930|323|12|Undisclosed
88930|562|13|Undisclosed
88930|11|14|Undisclosed
88930|382|15|Undisclosed
