product_id|brand_id|barcode_ean|name|category|retail_price_usd|raw_ingredient_text|created_at
67455|46067|P309308|Good Genes All-In-One Lactic Acid Treatment|Skincare|85|Botanical Blend [Water/Eau/Aqua, Opuntia Tuna Fruit Extract, Cypripedium Pubescens Extract], Lactic Acid, Squalane, Potassium Hydroxide, Stearic Acid, Glycyrrhiza Glabra (Licorice) Root Extract, Cymbopogon Schoenanthus Oil, Aloe Barbadensis Leaf Extract, Phenoxyethanol|2026-07-02 14:01:48
78335|14165|4043662021231|Daytox Cleansing Foam|Cleanser||Ingredients: Aqua, Palmitic Acid, Stearic Acid, Coconut Acid, Potassium Hydroxide, Propylene Glycol, Caprylic/Capric Triglyceride, Propanediol, Phenoxyethanol, Glycerin, Parfum, Cetearyl Alcohol, Sodium Hydroxide, Panthenol, Prunus Amygdalus Dulcis Seed O, Tocopherol, Tetrasodium EDTA, Limnanthes Alba Seed Oil, Ethylhexylglycerin, Glycine Soja Oil, Aloe Barbadensis Leaf Extract, Bioflavonoids, Brassica Oleracea Italica Extract|2026-07-02 14:02:54
82645|55|0071661029747|VITA|Skincare||WATER/AQUA, MINERAL OILIPARAFFINUM LOUIDUM, CEL ALCOHOL, GLYCERIN, STEARYL ALCOHOL, STEARIC ACID, GLYCERYL STEARATE, TOCOPHERYL ACETATE, SOLUBLE COLLAGEN, HYDROLYZED ELASTIN, ALOE BARBADENSIS LEAF JUICE, SQUALANE, CAPRYLYL GLYCOL, TRITICUM VULGARE (WHEAT) GERM OIL, DIMETHICONE, PHENOXYETHANOL, HEXYLENE GLYCOL, COCOS NUCIFERA (COCONUT OIL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, CARBOMER, AMINOMETHYL PROPANU, FRAGRANCE/PARFUM.|2026-07-02 14:03:26
83493|55|07658303|Cosmetic Product 07658303|Skincare||Aqua, Petrolatum, Squalane, Glycerin, Glyceryl Stearate, Stearic Acid, Dimethiconol/Silica Crosspolymer, Cetearyl Glucoside, Tocopherol (Vitamin E), Hydrogenated Olive Oil, Ethylhexyl Isopalmitate, Sclerocarya Birrea (Marula) Seed Oil, Allantoin, Carbomer, Phenoxyethanol, Triethanolamine, Disodium EDTA, Parfum, Sodium Hyaluronate, Coumarin.|2026-07-02 14:03:33
83541|19371|8906036217684|Papaya Clean Anti Blemish Facewash|Skincare||Purified Water, Glycerine, Stearic Acid, Myristic Acid, Palmitic Acid, Potassium Hydroxide, Coconut acid, Sodium Methyl Cocoyl Taurate, Cocamidopropy Betaine, Aloe Vera Extract, Papaya (Carica papaya) Extract, Liquorice (Glycyrrhiza Glabra Extract, Mulberry (Morus alba) Extract, Cetyl Alcohol, Ethylene Glycol Monostearale Fragrance, Imidazolidinyl Urea, Phenoxyethanol, Xylitylglucoside, Vitamin E, Anhydroxylit Xylitol, Colour|2026-07-02 14:03:33
84530|14359|0041507070080|Witch Hazel Facial Toner Uncented|Toner||Aqua, Glycerin, Hamamelis Virginiana Extract, Aloe Barbadensis Leaf Extract, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Citric Acid, Potassium Hydroxide|2026-07-02 14:03:40
84957|4834|8004395009114|Shaving soap for sensitive skin|Skincare||Aqua, Stearic Acid, Cocos nucifera (Coconut) Oil, Potassium Hydroxide, Glycerin, Parfum [Fragrance), Lactic Acid, Sodium Hydroxide, Avena sativa (Oat) Kernel Extract, Camellia sinensis Leaf Extract, Magnesium Aluminum Silicate, Sodium Metasilicate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Tetrasodium Glutamate Diacetate, Citrus limon (Lemon) Peel Oil, Limonene, Linalyl Acetate, Citral, Linalool, Hexyl Cinnamal, Tetramethyl Acetyloctahydronaphthalenes, Pinene, Geraniol, Citronellol, Geranyl Acetate|2026-07-02 14:03:43
86807|22637|7501056346195|Dove Nourishing Body Care Intensiva Piel Extra Seca|Skincare||AQUA, GLYCERIN, STEARIC ACID, GLYCERYL STEARATE, ISOPROPYL PALMITATE, CETYL ALCOHOL, PARFUM, PHENOXYETHANOL, DIMETHICONE, POTASSIUM HYDROXIDE, PETROLATUM, MAGNESIUM, ALUMINIUM SILICATE, METHYLPARABEN, ACRYLATES CROSSPOLYMER (C10-30 ALKYL ACRYLATE CROSSPOLYMER), PROPYPARABEN, TITANIUM DIOXIDE, DISODIUM EDTA, HELIANTHUS ANNUUS SEED OIL, ALPHA-ISOMETHYL IONONE, CITRONELLOL, LIMONENE, LINALOOL.|2026-07-02 14:03:55
87798|23624|9342746005385|Thanks To Nature Shaving Cream Tube 250mL|Moisturizer||Water (Aqua), Palmitic Acid, Glycerine, Stearic Acid, Myristic Acid, Potassium Hydroxide, Glycol Distearate, Behenyl Behenate, Cocamidopropyl Betaine, Cocamide Methyl MEA, Glyceryl Myristate, Phenoxyethanol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Acrylates Copolymer, PEG-250 Distearate, Fragrance, Castoryl Maleate, Lauric Acid, Sodium Chloride,  Arachidic Acid, Disodium EDTA, CI 19140, CI 15985.|2026-07-02 14:04:02
88930|24760|8859064605537|Milbon No. 4 weekly booster medium hair|Serum||WATER, DIMETHICONE, CETYL ALCOHOL, STEARTRIMONIUM CHLORIDE, AMODIMETHICONE, ISOSTEAROYL HYDROLYZED SILK, SQUALANE, HYDROLYZED COLLAGEN, ISOSTEARIC ACID, DICOCODIMONIUM CHLORIDE, LACTIC ACID, ISOPROPYL ALCOHOL, ETHYLHEXYL METHOXYCINNAMATE, PHENOXYETHANOL, FRAGRANCE|2026-07-02 14:04:11
